Timestamp;Scheduled Date;Scheduled Time;Train ID;Status;Origin;Destination;Train Type Classification;Carriage Info;Raw Units
2026-04-22 03:38:03;22-04-2026;17:02:30;397;Scheduled;KH;HMB;Talgo;16 cars (Nos. 1-25);EB + BPD + APT + AP + BPH + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BPD
2026-04-22 03:38:03;22-04-2026;17:03:00;394;Scheduled;HMB;KH;Talgo;17 cars (Nos. 1-111);EB + BPD + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPH + AP + APT + BPD + EB
2026-04-22 06:08:16;22-04-2026;19:02:30;399;Scheduled;KH;HMB;German IC Coaches;9 cars (Nos. 1-111);EB + BV + BV + BV + BPB + BPX + BPX + AV + EB
2026-04-22 08:04:00;22-04-2026;19:03:00;1172;Scheduled;HMB;KH;Talgo;17 cars (Nos. 1-111);EB + BPD + APT + AP + BPH + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BPD + EB
2026-04-22 17:13:31;23-04-2026;09:02:30;1173;Scheduled;KH;HMB;IC3;4 cars (Nos. 71-82);MFU + MFU
2026-04-22 18:12:25;23-04-2026;11:02:30;393;Scheduled;KH;HMB;Talgo;17 cars (Nos. 1-111);EB + BPD + APT + AP + BPH + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BPD + EB
2026-04-22 18:12:25;23-04-2026;11:03:00;398;Scheduled;HMB;KH;German IC Coaches;9 cars (Nos. 1-111);EB + BV + BV + AV + BPB + BPX + BPX + BV + EB
2026-04-22 19:37:43;23-04-2026;13:02:30;1175;Scheduled;KH;HMB;Talgo;17 cars (Nos. 1-111);EB + BPD + APT + AP + BPH + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BPD + EB
2026-04-22 19:37:43;23-04-2026;13:03:00;396;Scheduled;HMB;KH;Talgo;16 cars (Nos. 1-25);EB + BPD + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPH + AP + APT + BPD
2026-04-22 21:07:55;23-04-2026;15:03:00;1174;Scheduled;HMB;KH;IC3;4 cars (Nos. 71-82);MFU + MFU
2026-04-23 03:43:27;23-04-2026;17:02:30;397;Scheduled;KH;HMB;Talgo;16 cars (Nos. 1-25);EB + BPD + APT + AP + BPH + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BPD
2026-04-23 03:43:27;23-04-2026;17:03:00;394;Scheduled;HMB;KH;Talgo;17 cars (Nos. 1-111);EB + BPD + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPH + AP + APT + BPD + EB
2026-04-23 06:15:54;23-04-2026;19:02:30;399;Scheduled;KH;HMB;German IC Coaches;9 cars (Nos. 1-111);EB + BV + BPX + BPX + BPB + AV + BV + BV + EB
2026-04-23 09:01:04;23-04-2026;19:03:00;1172;Scheduled;HMB;KH;Talgo;17 cars (Nos. 1-111);EB + BPD + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPH + AP + APT + BPD + EB
2026-04-23 17:42:36;24-04-2026;09:02:30;1173;Scheduled;KH;HMB;IC3;4 cars (Nos. 71-82);MFU + MFU
2026-04-23 19:38:29;24-04-2026;11:02:30;393;Scheduled;KH;HMB;Talgo;17 cars (Nos. 1-111);EB + BPD + APT + AP + BPH + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BPD + EB
2026-04-23 19:38:29;24-04-2026;11:03:00;398;Scheduled;HMB;KH;German IC Coaches;9 cars (Nos. 1-111);EB + BV + BV + AV + BPB + BPX + BPX + BV + EB
2026-04-23 21:04:53;24-04-2026;13:02:30;1175;Scheduled;KH;HMB;Talgo;17 cars (Nos. 1-111);EB + BPD + APT + AP + BPH + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BPD + EB
2026-04-23 21:04:53;24-04-2026;13:03:00;396;Scheduled;HMB;KH;Talgo;16 cars (Nos. 1-25);EB + BPD + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPH + AP + APT + BPD
2026-04-23 23:03:22;24-04-2026;15:03:00;1174;Scheduled;HMB;KH;IC3;4 cars (Nos. 71-82);MFU + MFU
2026-04-24 03:47:09;24-04-2026;17:02:30;397;Scheduled;KH;HMB;Talgo;16 cars (Nos. 1-25);EB + BPD + APT + AP + BPH + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BPD
2026-04-24 03:47:09;24-04-2026;17:03:00;394;Scheduled;HMB;KH;Talgo;17 cars (Nos. 1-111);EB + BPD + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPT + BP + BPH + AP + APT + BPD + EB
2026-04-24 06:19:14;24-04-2026;19:02:30;399;Scheduled;KH;HMB;German IC Coaches;9 cars (Nos. 1-111);EB + BV + BPX + BPX + BPB + AV + BV + BV + EB
